latitude,longitude,speed,date
50.1054759,8.7628258,21.0,2022-04-01T10:21:22.928765
50.1054765,8.763348,21.0,2022-04-01T10:21:29.313108
50.1054769,8.7635912,21.0,2022-04-01T10:21:32.286537
50.1054769,8.7636372,21.0,2022-04-01T10:21:32.848994
50.1056002,8.7636452,21.0,2022-04-01T10:21:35.201337
50.1057668,8.7636559,21.0,2022-04-01T10:21:38.379794
50.1060942,8.7636755,21.0,2022-04-01T10:21:44.625280
50.1061521,8.7636833,21.0,2022-04-01T10:21:45.733051
50.106096,8.7636069,21.0,2022-04-01T10:21:47.152994
50.1061521,8.7636833,21.0,2022-04-01T10:21:48.572937
50.106096,8.7636069,21.0,2022-04-01T10:21:49.992880
50.1061521,8.7636833,21.0,2022-04-01T10:21:51.412823
50.1064126,8.7637185,21.0,2022-04-01T10:21:56.397109
50.1063482,8.7629048,21.0,2022-04-01T10:22:06.420538
50.1063084,8.762402,21.0,2022-04-01T10:22:12.614252
50.1063482,8.7629048,21.0,2022-04-01T10:22:18.807966
50.1064126,8.7637185,21.0,2022-04-01T10:22:28.831395
50.1065715,8.7637682,21.0,2022-04-01T10:22:31.920709
50.1064126,8.7637185,21.0,2022-04-01T10:22:35.010023
50.1061521,8.7636833,21.0,2022-04-01T10:22:39.994309
50.1060942,8.7636755,21.0,2022-04-01T10:22:41.102080
50.1057668,8.7636559,21.0,2022-04-01T10:22:47.347566
50.1056002,8.7636452,21.0,2022-04-01T10:22:50.526023
50.1054769,8.7636372,21.0,2022-04-01T10:22:52.878366
50.1054769,8.7635912,21.0,2022-04-01T10:22:53.440823
50.1056021,8.7636039,21.0,2022-04-01T10:22:55.832423
50.1054769,8.7635912,21.0,2022-04-01T10:22:58.224023
50.1054765,8.763348,21.0,2022-04-01T10:23:01.197452
50.1054759,8.7628258,21.0,2022-04-01T10:23:07.581795
50.105475,8.7621858,21.0,2022-04-01T10:23:15.406481
50.1054019,8.7622079,21.0,2022-04-01T10:23:16.825910
50.1053257,8.762233,21.0,2022-04-01T10:23:18.310481
50.1051273,8.7623026,21.0,2022-04-01T10:23:22.186995
50.1049099,8.762384,21.0,2022-04-01T10:23:26.448881
50.1048572,8.7624037,21.0,2022-04-01T10:23:27.481910
50.1048412,8.7630912,21.0,2022-04-01T10:23:35.892881
50.1048224,8.7638966,21.0,2022-04-01T10:23:45.746252
50.104813,8.7643006,21.0,2022-04-01T10:23:50.688881
50.1048088,8.7644787,21.0,2022-04-01T10:23:52.867738
50.104807,8.7645558,21.0,2022-04-01T10:23:53.810938
50.1048389,8.7645561,21.0,2022-04-01T10:23:54.418995
50.1052172,8.76455,21.0,2022-04-01T10:24:01.630481
50.1054733,8.7645426,21.0,2022-04-01T10:24:06.513110
50.1055101,8.764541,21.0,2022-04-01T10:24:07.214939
50.1055267,8.7645393,21.0,2022-04-01T10:24:07.532082
50.1055672,8.7645353,21.0,2022-04-01T10:24:08.305568
50.105573,8.7645347,21.0,2022-04-01T10:24:08.416311
50.1056458,8.7645218,21.0,2022-04-01T10:24:09.812940
50.1057473,8.7645016,21.0,2022-04-01T10:24:11.763454
50.1057825,8.7644981,21.0,2022-04-01T10:24:12.435797
50.1058321,8.7644928,21.0,2022-04-01T10:24:13.383454
50.1058621,8.7644896,21.0,2022-04-01T10:24:13.956711
50.106013,8.7644859,21.0,2022-04-01T10:24:16.833454
50.1066641,8.7645201,21.0,2022-04-01T10:24:29.251740
50.1068797,8.7645337,21.0,2022-04-01T10:24:33.364826
50.1070069,8.7645436,21.0,2022-04-01T10:24:35.792597
50.1068797,8.7645337,21.0,2022-04-01T10:24:38.220368
50.1066641,8.7645201,21.0,2022-04-01T10:24:42.333454
50.1066662,8.7644469,21.0,2022-04-01T10:24:43.229340
50.1066542,8.7637676,21.0,2022-04-01T10:24:51.537283
50.106652,8.7636285,21.0,2022-04-01T10:24:53.238369
50.106652,8.7635454,21.0,2022-04-01T10:24:54.254255
50.1066481,8.7632584,21.0,2022-04-01T10:24:57.763741
50.106658,8.7628127,21.0,2022-04-01T10:25:03.216027
50.1066572,8.7627498,21.0,2022-04-01T10:25:03.985227
50.106649,8.7626871,21.0,2022-04-01T10:25:04.767627
50.1065546,8.7620985,21.0,2022-04-01T10:25:12.185170
50.106506,8.761795,21.0,2022-04-01T10:25:16.009570
50.1065546,8.7620985,21.0,2022-04-01T10:25:19.833970
50.106649,8.7626871,21.0,2022-04-01T10:25:27.251513
50.1066572,8.7627498,21.0,2022-04-01T10:25:28.033913
50.106658,8.7628127,21.0,2022-04-01T10:25:28.803113
50.1066481,8.7632584,21.0,2022-04-01T10:25:34.255399
50.1071509,8.7629103,21.0,2022-04-01T10:25:44.742199
50.1071961,8.7628809,21.0,2022-04-01T10:25:45.675799
50.107246,8.7628593,21.0,2022-04-01T10:25:46.662885
50.1073002,8.7628466,21.0,2022-04-01T10:25:47.707571
50.1073555,8.7628391,21.0,2022-04-01T10:25:48.765628
50.1074016,8.7628373,21.0,2022-04-01T10:25:49.644714
50.1076188,8.7628758,21.0,2022-04-01T10:25:53.811628
50.1076535,8.7631454,21.0,2022-04-01T10:25:57.173342
50.1076652,8.7632598,21.0,2022-04-01T10:25:58.589513
50.1076663,8.7633622,21.0,2022-04-01T10:25:59.841627
50.10766,8.7634465,21.0,2022-04-01T10:26:00.879284
50.1076475,8.7635341,21.0,2022-04-01T10:26:01.976427
50.1076214,8.7636599,21.0,2022-04-01T10:26:03.592827
50.1075673,8.7638608,21.0,2022-04-01T10:26:06.256656
50.1075667,8.7639006,21.0,2022-04-01T10:26:06.743342
50.1075714,8.7639302,21.0,2022-04-01T10:26:07.116199
50.1075813,8.7639533,21.0,2022-04-01T10:26:07.455799
50.1076002,8.7639763,21.0,2022-04-01T10:26:07.912828
50.1082568,8.7644444,21.0,2022-04-01T10:26:21.675114
50.108015,8.7651634,21.0,2022-04-01T10:26:31.600314
50.107961,8.7653306,21.0,2022-04-01T10:26:33.888885
50.107803,8.765211,21.0,2022-04-01T10:26:37.236885
50.1073593,8.7648041,21.0,2022-04-01T10:26:47.049114
50.1072725,8.7647262,21.0,2022-04-01T10:26:48.958143
50.107202,8.7646622,21.0,2022-04-01T10:26:50.513172
50.1071252,8.7645964,21.0,2022-04-01T10:26:52.183572
50.1070856,8.7645678,21.0,2022-04-01T10:26:53.015515
50.1070452,8.7645521,21.0,2022-04-01T10:26:53.809229
50.1070069,8.7645436,21.0,2022-04-01T10:26:54.546715
50.1069887,8.7646957,21.0,2022-04-01T10:26:56.438258
50.1069294,8.765149,21.0,2022-04-01T10:27:02.094201
50.1069208,8.7652673,21.0,2022-04-01T10:27:03.549801
50.10692,8.7653333,21.0,2022-04-01T10:27:04.356887
50.1069213,8.7653923,21.0,2022-04-01T10:27:05.078601
50.1069285,8.7654628,21.0,2022-04-01T10:27:05.951344
50.1069385,8.7655413,21.0,2022-04-01T10:27:06.929858
50.1070736,8.7663344,21.0,2022-04-01T10:27:16.962029
50.1070757,8.7663609,21.0,2022-04-01T10:27:17.288429
50.1070759,8.7663861,21.0,2022-04-01T10:27:17.596486
50.1070731,8.7664088,21.0,2022-04-01T10:27:17.879172
50.107067,8.7664304,21.0,2022-04-01T10:27:18.167686
50.1070459,8.7664422,21.0,2022-04-01T10:27:18.595057
50.1069384,8.7664546,21.0,2022-04-01T10:27:20.649800
50.1068229,8.7664603,21.0,2022-04-01T10:27:22.852486
50.10676,8.7664566,21.0,2022-04-01T10:27:24.052315
50.1066832,8.766443,21.0,2022-04-01T10:27:25.525744
50.1064099,8.7663488,21.0,2022-04-01T10:27:30.861115
50.1062861,8.7662994,21.0,2022-04-01T10:27:33.297115
50.1061373,8.7662122,21.0,2022-04-01T10:27:36.327286
50.1058412,8.7659898,21.0,2022-04-01T10:27:42.592315
50.1058476,8.765941,21.0,2022-04-01T10:27:43.201229
50.1058884,8.7656461,21.0,2022-04-01T10:27:46.889515
50.1058983,8.7655828,21.0,2022-04-01T10:27:47.686144
50.1059033,8.7655176,21.0,2022-04-01T10:27:48.488944
50.106013,8.7644859,21.0,2022-04-01T10:28:01.274430
50.1059033,8.7655176,21.0,2022-04-01T10:28:14.059916
50.1058983,8.7655828,21.0,2022-04-01T10:28:14.862716
50.1058884,8.7656461,21.0,2022-04-01T10:28:15.659345
50.1058476,8.765941,21.0,2022-04-01T10:28:19.347631
50.1058412,8.7659898,21.0,2022-04-01T10:28:19.956545
50.1058235,8.7661299,21.0,2022-04-01T10:28:21.702374
50.1057966,8.7664103,21.0,2022-04-01T10:28:25.168660
50.105726,8.7674021,21.0,2022-04-01T10:28:37.368717
50.1055999,8.767383,21.0,2022-04-01T10:28:39.783803
50.1055015,8.7673726,21.0,2022-04-01T10:28:41.663860
50.1054541,8.7673695,21.0,2022-04-01T10:28:42.568146
50.1054275,8.767368,21.0,2022-04-01T10:28:43.075575
50.1054014,8.7673712,21.0,2022-04-01T10:28:43.574604
50.105366,8.7673769,21.0,2022-04-01T10:28:44.252947
50.1053438,8.7673796,21.0,2022-04-01T10:28:44.677404
50.1053194,8.7673793,21.0,2022-04-01T10:28:45.142490
50.1052442,8.7673717,21.0,2022-04-01T10:28:46.578890
50.1052046,8.7673603,21.0,2022-04-01T10:28:47.346547
50.1051782,8.7673448,21.0,2022-04-01T10:28:47.884318
50.105157,8.7673323,21.0,2022-04-01T10:28:48.316318
50.1051054,8.7672848,21.0,2022-04-01T10:28:49.458547
50.1050743,8.7674248,21.0,2022-04-01T10:28:51.269861
50.1049896,8.7674229,21.0,2022-04-01T10:28:52.884547
50.1049521,8.7674221,21.0,2022-04-01T10:28:53.599404
50.1046477,8.7658688,21.0,2022-04-01T10:29:13.456833
50.1046363,8.7658092,21.0,2022-04-01T10:29:14.217290
50.1046477,8.7658688,21.0,2022-04-01T10:29:14.977747
50.1046363,8.7658092,21.0,2022-04-01T10:29:15.738204
50.1046477,8.7658688,21.0,2022-04-01T10:29:16.498661
50.1050885,8.7656669,21.0,2022-04-01T10:29:25.256261
50.1051079,8.7656772,21.0,2022-04-01T10:29:25.646947
50.1051733,8.7657078,21.0,2022-04-01T10:29:26.948604
50.1052582,8.7653003,21.0,2022-04-01T10:29:32.186947
50.1053644,8.7647898,21.0,2022-04-01T10:29:38.748376
50.1052582,8.7653003,21.0,2022-04-01T10:29:45.309805
50.1053644,8.7647898,21.0,2022-04-01T10:29:51.871234
50.1052582,8.7653003,21.0,2022-04-01T10:29:58.432663
50.1052891,8.7653151,21.0,2022-04-01T10:29:59.048777
50.1053135,8.7653269,21.0,2022-04-01T10:29:59.535806
50.1052891,8.7653151,21.0,2022-04-01T10:30:00.022835
50.1052582,8.7653003,21.0,2022-04-01T10:30:00.638949
50.1051733,8.7657078,21.0,2022-04-01T10:30:05.877292
50.1052665,8.7657513,21.0,2022-04-01T10:30:07.731806
50.1052901,8.7656385,21.0,2022-04-01T10:30:09.182435
50.1052665,8.7657513,21.0,2022-04-01T10:30:10.633064
50.1052901,8.7656385,21.0,2022-04-01T10:30:12.083693
50.1052665,8.7657513,21.0,2022-04-01T10:30:13.534322
50.105319,8.7657772,21.0,2022-04-01T10:30:14.583979
50.1054024,8.7658052,21.0,2022-04-01T10:30:16.210150
50.1053337,8.7661512,21.0,2022-04-01T10:30:20.638321
50.1053252,8.7661953,21.0,2022-04-01T10:30:21.201292
50.1051054,8.7672848,21.0,2022-04-01T10:30:35.164835
50.1053252,8.7661953,21.0,2022-04-01T10:30:49.128378
50.1053337,8.7661512,21.0,2022-04-01T10:30:49.691349
50.1054024,8.7658052,21.0,2022-04-01T10:30:54.119520
50.105451,8.7655519,21.0,2022-04-01T10:30:57.351977
50.1055833,8.7648626,21.0,2022-04-01T10:31:06.148491
50.1056087,8.7647302,21.0,2022-04-01T10:31:07.838091
50.1056458,8.7645218,21.0,2022-04-01T10:31:10.482377
50.1056983,8.7642952,21.0,2022-04-01T10:31:13.428034
50.1057128,8.7642327,21.0,2022-04-01T10:31:14.240605
50.1058578,8.7636076,21.0,2022-04-01T10:31:22.367519
50.105871,8.7635508,21.0,2022-04-01T10:31:23.106205
50.1060266,8.7628711,21.0,2022-04-01T10:31:31.929634
50.1060639,8.7627083,21.0,2022-04-01T10:31:34.043177
50.106236,8.761899,21.0,2022-04-01T10:31:44.467234
50.1062763,8.7618829,21.0,2022-04-01T10:31:45.260263
50.1062907,8.7618778,21.0,2022-04-01T10:31:45.541749
50.1063211,8.7618654,21.0,2022-04-01T10:31:46.140720
50.1063311,8.7618616,21.0,2022-04-01T10:31:46.336834
50.106506,8.761795,21.0,2022-04-01T10:31:49.768834
50.1075861,8.761414,21.0,2022-04-01T10:32:10.878034
50.107612,8.7614049,21.0,2022-04-01T10:32:11.384091
50.1076727,8.7618206,21.0,2022-04-01T10:32:16.596205
50.1076968,8.7620669,21.0,2022-04-01T10:32:19.642148
50.107703,8.762195,21.0,2022-04-01T10:32:21.212605
50.1076993,8.7623213,21.0,2022-04-01T10:32:22.758205
50.1076981,8.7624296,21.0,2022-04-01T10:32:24.082491
50.1076794,8.7625997,21.0,2022-04-01T10:32:26.192434
50.1076188,8.7628758,21.0,2022-04-01T10:32:29.760034
50.1076794,8.7625997,21.0,2022-04-01T10:32:33.327634
50.1076981,8.7624296,21.0,2022-04-01T10:32:35.437577
50.1076993,8.7623213,21.0,2022-04-01T10:32:36.761863
50.107703,8.762195,21.0,2022-04-01T10:32:38.307463
50.1076968,8.7620669,21.0,2022-04-01T10:32:39.877920
50.1076727,8.7618206,21.0,2022-04-01T10:32:42.923863
50.107612,8.7614049,21.0,2022-04-01T10:32:48.135977
50.1080662,8.7612374,21.0,2022-04-01T10:32:57.032777
50.1080909,8.7612326,21.0,2022-04-01T10:32:57.507291
50.1081065,8.761233,21.0,2022-04-01T10:32:57.804720
50.1081335,8.7612405,21.0,2022-04-01T10:32:58.327577
50.1081549,8.7612543,21.0,2022-04-01T10:32:58.769006
50.1082658,8.761355,21.0,2022-04-01T10:33:01.215292
50.1087254,8.7617216,21.0,2022-04-01T10:33:11.055978
50.1087455,8.7617339,21.0,2022-04-01T10:33:11.467578
50.108903,8.7617964,21.0,2022-04-01T10:33:14.565464
50.1090634,8.7619687,21.0,2022-04-01T10:33:18.278264
50.1090936,8.761881,21.0,2022-04-01T10:33:19.495235
50.1098431,8.7595873,21.0,2022-04-01T10:33:50.965406
50.1093145,8.7589663,21.0,2022-04-01T10:34:03.581349
50.1092588,8.7588898,21.0,2022-04-01T10:34:04.996320
50.1092165,8.7588122,21.0,2022-04-01T10:34:06.241406
50.1089276,8.7601391,21.0,2022-04-01T10:34:23.372092
50.1088993,8.7601747,21.0,2022-04-01T10:34:24.065178
50.108812,8.7602322,21.0,2022-04-01T10:34:25.871692
50.1088042,8.7602445,21.0,2022-04-01T10:34:26.083235
50.1087979,8.7602638,21.0,2022-04-01T10:34:26.347921
50.1088042,8.7602445,21.0,2022-04-01T10:34:26.612607
50.108812,8.7602322,21.0,2022-04-01T10:34:26.824150
50.1088993,8.7601747,21.0,2022-04-01T10:34:28.630664
50.1089276,8.7601391,21.0,2022-04-01T10:34:29.323750
50.1089124,8.7602092,21.0,2022-04-01T10:34:30.228379
50.1088951,8.7602902,21.0,2022-04-01T10:34:31.272036
50.1088856,8.7603171,21.0,2022-04-01T10:34:31.647465
50.1088751,8.7603364,21.0,2022-04-01T10:34:31.956894
50.1088615,8.7603508,21.0,2022-04-01T10:34:32.270265
50.1088481,8.7603569,21.0,2022-04-01T10:34:32.536322
50.1088254,8.7603584,21.0,2022-04-01T10:34:32.969351
50.1088079,8.7603422,21.0,2022-04-01T10:34:33.357294
50.1087994,8.7603252,21.0,2022-04-01T10:34:33.620780
50.1087965,8.7602975,21.0,2022-04-01T10:34:33.963980
50.1087962,8.7602805,21.0,2022-04-01T10:34:34.171923
50.1087979,8.7602638,21.0,2022-04-01T10:34:34.378666
50.1086633,8.7603182,21.0,2022-04-01T10:34:37.029123
50.1083731,8.7604369,21.0,2022-04-01T10:34:42.748152
50.1082069,8.7609322,21.0,2022-04-01T10:34:49.581981
50.1081065,8.761233,21.0,2022-04-01T10:34:53.727467
50.1081335,8.7612405,21.0,2022-04-01T10:34:54.250324
50.1081549,8.7612543,21.0,2022-04-01T10:34:54.691753
50.1082658,8.761355,21.0,2022-04-01T10:34:57.138039
50.1087254,8.7617216,21.0,2022-04-01T10:35:06.978725
50.1087455,8.7617339,21.0,2022-04-01T10:35:07.390325
50.108903,8.7617964,21.0,2022-04-01T10:35:10.488211
50.1090634,8.7619687,21.0,2022-04-01T10:35:14.201011
50.1089117,8.7624392,21.0,2022-04-01T10:35:20.638840
50.1086798,8.7631492,21.0,2022-04-01T10:35:30.379411
50.1084541,8.7638355,21.0,2022-04-01T10:35:39.808325
50.1082568,8.7644444,21.0,2022-04-01T10:35:48.148325
50.108015,8.7651634,21.0,2022-04-01T10:35:58.073525
50.107961,8.7653306,21.0,2022-04-01T10:36:00.362096
50.107935,8.7654434,21.0,2022-04-01T10:36:01.827467
50.1078975,8.7656438,21.0,2022-04-01T10:36:04.379524
50.1078143,8.7661294,21.0,2022-04-01T10:36:10.524381
50.1075165,8.767713,21.0,2022-04-01T10:36:30.699638
50.1073701,8.7684912,21.0,2022-04-01T10:36:40.614381
50.1072999,8.7688984,21.0,2022-04-01T10:36:45.769238
50.1071498,8.768918,21.0,2022-04-01T10:36:48.640495
50.1070728,8.7689304,21.0,2022-04-01T10:36:50.116152
50.1071498,8.768918,21.0,2022-04-01T10:36:51.591809
50.1072999,8.7688984,21.0,2022-04-01T10:36:54.463066
50.1072687,8.7690745,21.0,2022-04-01T10:36:56.696609
50.1072212,8.7693392,21.0,2022-04-01T10:37:00.056952
50.1072007,8.7694538,21.0,2022-04-01T10:37:01.511523
50.1071363,8.7698837,21.0,2022-04-01T10:37:06.908780
50.1071159,8.7700347,21.0,2022-04-01T10:37:08.795351
50.1070871,8.7702477,21.0,2022-04-01T10:37:11.456608
50.1070583,8.7705851,21.0,2022-04-01T10:37:15.617865
50.1070389,8.7713658,21.0,2022-04-01T10:37:25.169522
50.1070408,8.7717247,21.0,2022-04-01T10:37:29.557408
50.10704,8.7717716,21.0,2022-04-01T10:37:30.131008
50.1071111,8.772295,21.0,2022-04-01T10:37:36.671865
50.1072452,8.7731856,21.0,2022-04-01T10:37:47.855865
50.1073318,8.7737199,21.0,2022-04-01T10:37:54.593351
50.1073576,8.7738937,21.0,2022-04-01T10:37:56.774265
50.1073895,8.7740701,21.0,2022-04-01T10:37:59.014836
50.106791,8.7742419,21.0,2022-04-01T10:38:10.615236
50.1066362,8.7742863,21.0,2022-04-01T10:38:13.615579
50.106579,8.7743027,21.0,2022-04-01T10:38:14.724208
50.1063783,8.7743612,21.0,2022-04-01T10:38:18.616151
50.1059135,8.7744489,21.0,2022-04-01T10:38:27.540894
50.105744,8.771993,21.0,2022-04-01T10:38:57.739580
50.1043702,8.7722418,21.0,2022-04-01T10:39:24.103066
50.1042784,8.7722186,21.0,2022-04-01T10:39:25.875809
50.1041965,8.7721927,21.0,2022-04-01T10:39:27.468723
50.1041375,8.7721719,21.0,2022-04-01T10:39:28.621752
50.1040901,8.7721624,21.0,2022-04-01T10:39:29.532723
50.1040493,8.772158,21.0,2022-04-01T10:39:30.312380
50.1040051,8.7721424,21.0,2022-04-01T10:39:31.176209
50.1039152,8.7720998,21.0,2022-04-01T10:39:32.967295
50.1038328,8.7720572,21.0,2022-04-01T10:39:34.622095
50.1037465,8.7720039,21.0,2022-04-01T10:39:36.391581
50.1036908,8.7719598,21.0,2022-04-01T10:39:37.582324
50.1036649,8.7719363,21.0,2022-04-01T10:39:38.153524
50.103646,8.7719252,21.0,2022-04-01T10:39:38.538553
50.1036198,8.7719172,21.0,2022-04-01T10:39:39.047524
50.103593,8.7719265,21.0,2022-04-01T10:39:39.570895
50.1035656,8.7719602,21.0,2022-04-01T10:39:40.236209
50.1035461,8.7719887,21.0,2022-04-01T10:39:40.745695
50.1035203,8.7720374,21.0,2022-04-01T10:39:41.517981
50.1038642,8.7709171,21.0,2022-04-01T10:39:56.703124
50.1037306,8.7708016,21.0,2022-04-01T10:39:59.615181
50.1033795,8.7705358,21.0,2022-04-01T10:40:07.055181
50.1037306,8.7708016,21.0,2022-04-01T10:40:14.495181
50.1038642,8.7709171,21.0,2022-04-01T10:40:17.407238
50.1040112,8.7710311,21.0,2022-04-01T10:40:20.536838
50.1038642,8.7709171,21.0,2022-04-01T10:40:23.666438
50.1040982,8.770198,21.0,2022-04-01T10:40:33.525124
