start	end	lat	lon	lat	lon	name
286016788	286016784	-5010283.23	879379.26	-5010290.37	879335.15	Am Schneckenberg
286016791	286016788	-5010279.9799999995	879405.5399999999	-5010283.23	879379.26	Am Schneckenberg
2024106501	286016791	-5010276.67	879430.12	-5010279.9799999995	879405.5399999999	Am Schneckenberg
2024106500	2024106501	-5010275.2299999995	879439.8599999999	-5010276.67	879430.12	Am Schneckenberg
2024106496	2024106500	-5010273.2299999995	879451.86	-5010275.2299999995	879439.8599999999	Am Schneckenberg
2024106491	2024106496	-5010269.319999999	879472.03	-5010273.2299999995	879451.86	Am Schneckenberg
286016796	2024106491	-5010258.51	879522.45	-5010269.319999999	879472.03	Am Schneckenberg
2024106474	286016796	-5010255.12	879536.64	-5010258.51	879522.45	Am Schneckenberg
2024106468	2024106474	-5010251.27	879552.0800000001	-5010255.12	879536.64	Am Schneckenberg
2024106463	2024106468	-5010247.65	879565.71	-5010251.27	879552.0800000001	Am Schneckenberg
2024106455	2024106463	-5010241.49	879587.2100000001	-5010247.65	879565.71	Am Schneckenberg
1187122111	2024106455	-5010205.5	879707.6499999999	-5010241.49	879587.2100000001	Am Schneckenberg
1260308273	1187122111	-5010187.74	879771.3999999999	-5010205.5	879707.6499999999	Am Schneckenberg
286016799	1260308273	-5010161.0200000005	879838.21	-5010187.74	879771.3999999999	Am Schneckenberg
567213476	271785577	-5008361.42	874812.12	-5008387.26	874832.6699999999	Schumannstraße
6408739289	567213476	-5008229.4799999995	874709.9800000001	-5008361.42	874812.12	Schumannstraße
6970746986	6408739289	-5008203.03	874689.51	-5008229.4799999995	874709.9800000001	Schumannstraße
271785567	6970746986	-5008132.57	874634.9600000001	-5008203.03	874689.51	Schumannstraße
567213471	271785567	-5008058.100000001	874578.9099999999	-5008132.57	874634.9600000001	Schumannstraße
2295304657	35339009	-5009880.7	876023.7200000001	-5009869.100000001	876030.4700000001	Bismarckstraße
271785510	395266231	-5007614.67	876612.79	-5007600.35	876610.5100000001	Dietzenbacher Straße
2862225890	1086046037	-5011436.55	874598.8799999999	-5011442.569999999	874637.42	Hafeninsel
2025866696	2862225890	-5011426.22	874539.15	-5011436.55	874598.8799999999	Hafeninsel
1086046049	2025866696	-5011416.55	874491.72	-5011426.22	874539.15	Hafeninsel
1086046041	1086046049	-5011397.86	874407.91	-5011416.55	874491.72	Hafeninsel
2018741285	2018741307	-5009775.23	877352.58	-5009777.95	877351.5299999999	Bachstraße
2018953892	2018741285	-5009771.29	877353.4500000001	-5009775.23	877352.58	Bachstraße
2018741261	2018953892	-5009768.03	877353.6699999999	-5009771.29	877353.4500000001	Bachstraße
2018953891	2018741261	-5009763.4399999995	877353.2599999999	-5009768.03	877353.6699999999	Bachstraße
38579043	2018953891	-5009758.75	877352.11	-5009763.4399999995	877353.2599999999	Bachstraße
35343343	36677680	-5009962.76	876598.36	-5009961.01	876586.21	Feldstraße
3392723933	271785581	-5008551.340000001	875062.2699999999	-5008577.65	874978.13	Kurt-Tucholsky-Straße
271785582	3392723933	-5008542.89	875089.28	-5008551.340000001	875062.2699999999	Kurt-Tucholsky-Straße
1838438891	271785582	-5008531.26	875127.1799999999	-5008542.89	875089.28	Kurt-Tucholsky-Straße
271785583	1838438891	-5008530.32	875132.4	-5008531.26	875127.1799999999	Kurt-Tucholsky-Straße
2032691872	271785583	-5008530.13	875139.0000000001	-5008530.32	875132.4	Kurt-Tucholsky-Straße
271785584	2032691872	-5008530.9	875144.84	-5008530.13	875139.0000000001	Kurt-Tucholsky-Straße
2032691874	271785584	-5008532.78	875152.0299999999	-5008530.9	875144.84	Kurt-Tucholsky-Straße
2100991746	2032691874	-5008541.17	875184.09	-5008532.78	875152.0299999999	Kurt-Tucholsky-Straße
2032691885	2100991746	-5008542.340000001	875188.54	-5008541.17	875184.09	Kurt-Tucholsky-Straße
2032691888	2032691885	-5008543.52	875194.7599999999	-5008542.340000001	875188.54	Kurt-Tucholsky-Straße
1838438898	2032691888	-5008544.0	875200.2799999999	-5008543.52	875194.7599999999	Kurt-Tucholsky-Straße
271785585	1838438898	-5008543.73	875205.07	-5008544.0	875200.2799999999	Kurt-Tucholsky-Straße
2032691876	271785585	-5008532.76	875287.14	-5008543.73	875205.07	Kurt-Tucholsky-Straße
271785586	2032691876	-5008531.18	875299.93	-5008532.76	875287.14	Kurt-Tucholsky-Straße
59282291	395266233	-5007727.390000001	876620.63	-5007686.25	876619.4600000001	Dietzenbacher Straße
1832015402	35339017	-5010386.65	876464.14	-5010374.88	876461.82	Bieberer Straße
1832015409	1832015402	-5010391.220000001	876465.49	-5010386.65	876464.14	Bieberer Straße
1832015418	1832015409	-5010394.76	876467.4400000001	-5010391.220000001	876465.49	Bieberer Straße
1832015421	1832015418	-5010397.32	876469.4199999999	-5010394.76	876467.4400000001	Bieberer Straße
1832015422	1832015421	-5010399.34	876471.91	-5010397.32	876469.4199999999	Bieberer Straße
1832015424	1832015422	-5010401.72	876475.1699999999	-5010399.34	876471.91	Bieberer Straße
1832015428	1832015424	-5010404.12	876480.02	-5010401.72	876475.1699999999	Bieberer Straße
1832015429	1832015428	-5010405.819999999	876485.0499999999	-5010404.12	876480.02	Bieberer Straße
1832015431	1832015429	-5010406.94	876490.0499999999	-5010405.819999999	876485.0499999999	Bieberer Straße
1832015438	1832015431	-5010408.76	876499.0900000001	-5010406.94	876490.0499999999	Bieberer Straße
1832015444	1832015438	-5010409.649999999	876503.65	-5010408.76	876499.0900000001	Bieberer Straße
676527070	395277658	-5007871.0200000005	876592.7400000001	-5007835.62	876602.82	Dietzenbacher Straße
3392723703	271785587	-5008371.31	875549.2500000001	-5008373.859999999	875568.36	Anton-Bruckner-Straße
2032691694	3392723703	-5008344.3	875346.95	-5008371.31	875549.2500000001	Anton-Bruckner-Straße
2032691690	2032691694	-5008344.03	875340.7299999999	-5008344.3	875346.95	Anton-Bruckner-Straße
2032691692	2032691690	-5008344.1899999995	875335.5000000001	-5008344.03	875340.7299999999	Anton-Bruckner-Straße
2032691696	2032691692	-5008344.53	875329.66	-5008344.1899999995	875335.5000000001	Anton-Bruckner-Straße
271785588	2032691696	-5008344.91	875325.09	-5008344.53	875329.66	Anton-Bruckner-Straße
