start	end	lat	lon	lat	lon	name	distance
60784541	60953734	-5009259.92	878772.24	-5009143.96	878812.8800000001	Obere Grenzstraße	0.13221183308796283
150883872	150886223	-5009696.1899999995	875790.1699999999	-5009794.74	875849.79	Hohe Straße	0.11758209960249748
150883872	104708919	-5009696.1899999995	875790.1699999999	-5009600.28	875734.9500000001	Hohe Straße	0.11372427137678784
150883872	150883873	-5009696.1899999995	875790.1699999999	-5009631.24	876065.2000000001	Liebigstraße	0.20912247611455262
31124341	31124342	-5008921.72	875963.8600000001	-5008921.05	875841.25	Odenwaldring	0.08754390449479196
31124341	195984203	-5008921.72	875963.8600000001	-5009072.32	875937.8999999999	Carl-Maria-von-Weber-Straße	0.16857125637680562
31124342	31124336	-5008921.05	875841.25	-5008912.140000001	875840.4199999999	Odenwaldring	0.009928263096103694
31124342	196414620	-5008921.05	875841.25	-5008981.61	875535.88	Odenwaldring	0.2296560662783923
31124342	195984201	-5008921.05	875841.25	-5009063.83	875844.1599999999	Schubertstraße	0.15928347008309696
712649802	35343339	-5010217.73	877390.4999999999	-5010246.44	877541.03	Bismarckstraße	0.11204270476530415
712649802	36685700	-5010217.73	877390.4999999999	-5010173.600000001	877155.77	Bismarckstraße	0.17451897276856168
712649802	53386294	-5010217.73	877390.4999999999	-5010278.41	877437.73	Kasernenstraße	0.07543920175166434
712649802	2702959227	-5010217.73	877390.4999999999	-5010164.36	877408.5	Kasernenstraße	0.06227240368688963
35343339	53386294	-5010246.44	877541.03	-5010278.41	877437.73	Bieberer Straße	0.08182932456658139
35343339	35243261	-5010246.44	877541.03	-5010204.55	877676.5700000001	Bieberer Straße	0.10734103432311316
36685700	2429240149	-5010173.600000001	877155.77	-5010168.83	877130.0800000001	Bismarckstraße	0.01908120773451253
36685700	36685687	-5010173.600000001	877155.77	-5010337.95	877053.58	Krafftstraße	0.2034283411856148
2429240149	2429240148	-5010168.83	877130.0800000001	-5010123.53	877175.5000000001	Kurze Straße	0.059908036879994846
2429240149	36685366	-5010168.83	877130.0800000001	-5010150.53	877036.43	Bismarckstraße	0.06984724888856825
36685366	36321777	-5010150.53	877036.43	-5010131.05	876931.54	Bismarckstraße	0.07790873715361077
36685366	35343340	-5010150.53	877036.43	-5010329.75	876989.99	Karlstraße	0.2020807595523569
36685366	36677079	-5010150.53	877036.43	-5010036.34	877065.97	Karlstraße	0.12875723784792
36321777	35339023	-5010131.05	876931.54	-5010313.25	876874.65	Friedrichstraße	0.20668522663816166
36321777	36321776	-5010131.05	876931.54	-5010101.35	876782.7000000001	Bismarckstraße	0.11121218415805983
1833458840	1833458992	-5010704.0	877177.1599999999	-5010729.99	876889.84	Mainstraße	0.2081273038541656
1833458840	33779509	-5010704.0	877177.1599999999	-5010738.949999999	877407.0099999999	Mainstraße	0.16854202664947657
1833458840	54160676	-5010704.0	877177.1599999999	-5010574.4	877199.3	Austraße	0.14502021193410292
1833458992	41368923	-5010729.99	876889.84	-5010707.279999999	876893.04	Karlstraße	0.02536430176434226
1833458992	2551541788	-5010729.99	876889.84	-5010796.100000001	876533.06	Mainstraße	0.2649651052752576
1839941733	145791083	-5009480.37	876226.58	-5009611.9399999995	876257.88	Senefelderstraße	0.14803952122253652
1839941733	104708903	-5009480.37	876226.58	-5009470.91	876261.3200000001	Friedrichsring	0.02692991620090559
1839941733	145791075	-5009480.37	876226.58	-5009449.3	876218.42	Senefelderstraße	0.0350488266882026
1839941733	104708914	-5009480.37	876226.58	-5009539.17	875990.15	Starkenburgring	0.18094017896626965
145791075	201337261	-5009449.3	876218.42	-5009430.81	876032.88	Gutenbergstraße	0.14018435012015978
145791075	1840312061	-5009449.3	876218.42	-5009342.29	876205.2999999999	Senefelderstraße	0.11977540111093274
35339019	339354674	-5010429.41	876740.71	-5010495.21	876742.21	Großer Biergrund	0.07319705313324817
35339019	35339022	-5010429.41	876740.71	-5010429.16	876838.42	Bieberer Straße	0.0697087664044908
35339019	36321436	-5010429.41	876740.71	-5010429.35	876667.34	Bieberer Straße	0.05234362434214018
34042053	195984208	-5008951.11	876281.1799999999	-5009102.04	876241.1699999999	Senefelderstraße	0.1703246169139193
34042053	34042051	-5008951.11	876281.1799999999	-5008967.71	876505.56	Odenwaldring	0.16124493228683737
3161228622	36321512	-5010261.21	876502.29	-5010279.72	876632.29	Bleichstraße	0.09500531446327494
3161228622	7049363385	-5010261.21	876502.29	-5010091.890000001	876552.88	Waldstraße	0.19194745724644835
